Well,KH,KV,PhiH,PhiF,So,Sw,Grain_Density gm per cc
QSR-27,,,0.030814716,0.042867737,0,0.725804814,2.68
QSR-27,,,,,,,
QSR-27,,,,,,,
QSR-27,10.40600703,,0.249863573,0.205177659,0.071662283,0.716622827,2.67
QSR-27,2.506529872,0.879823517,0.237146648,0.180377881,0.106869062,0.631036366,2.69
QSR-27,130.7458475,,0.185242948,0.172569468,0.192540867,0.502745596,2.67
QSR-27,27.07919535,,0.236855208,0.210392543,0.202828097,0.48502371,2.64
QSR-27,6.614730223,1.159451672,0.250896287,0.222418554,0.125009969,0.64171784,2.65
QSR-27,17.35870105,,0.269141517,0.17838814,0.106822592,0.539199748,2.67
QSR-27,2.287023039,,0.208961639,0.225527619,0.177455244,0.564630323,2.64
QSR-27,8.841867452,19.60843791,0.221679443,0.220009604,0.14707731,0.522941546,2.64
QSR-27,2.659737535,,0.206739908,0.239988689,0.096368432,0.678433759,2.66
QSR-27,0.535541516,,0.178877466,0.173596016,0.075720063,0.659846266,2.64
QSR-27,10.27440739,0.71456442,0.227502751,0.174176961,0.103826673,0.612030915,2.64
QSR-27,0.834597823,,0.181213153,0.228349019,0.06454704,0.73422258,2.63
QSR-27,2.010447204,,0.223113645,0.257709164,0.067683247,0.748077988,2.65
QSR-27,3.986295169,2.052191723,0.249428972,0.198751661,0.073880875,0.683398094,2.64
QSR-27,1.56571949,,0.193711213,0.103456732,0.064071709,0.329511645,2.73
QSR-27,0.471838912,,0.106618298,0.114771468,0.059165883,0.642372439,2.6
QSR-27,2.371917192,0.7098086,0.217120061,0.07875117,0.063296924,0.607650473,2.65
QSR-27,1.33145099,,0.179330806,0.055000751,0,0.208884832,2.64
QSR-27,1.130598126,,0.097972995,0.034254118,0,0.059118708,2.68
QSR-27,,0.003277635,0.060999273,0.036971164,0.140915451,0.507295623,2.64
QSR-27,0.01415514,,0.080380419,0.01362653,0,0.160134378,2.6
QSR-27,1.662777815,,0.117652365,0.136636895,0.050128464,0.687476084,2.6
QSR-27,0.249734051,0.346065986,0.108390269,0.041292425,0,0.048482102,2.67
QSR-27,0.391404468,,0.125270415,0.064567315,0,0.560902784,2.66
QSR-27,0.886253928,,0.077494242,0.017041703,0,0.122165326,2.61
